id,name,address,symbol,url,description,chain,logo,audits,audit_note,gecko_id,cmcId,category,chains,module,twitter,audit_links,oracles,slug,tvl,chainTvls,change_1h,change_1d,change_7d,staking,fdv,mcap,forkedFrom,listedAt,pool2,audit
3,Curve,0xD533a949740bb3306d119CC777fa900bA034cd52,CRV,https://curve.fi,Curve is a decentralized exchange liquidity pool on Ethereum designed for extremely efficient stablecoin trading,Multi-Chain,https://icons.llama.fi/curve.png,2,,curve-dao-token,6538,Dexes,"['Avalanche', 'Harmony', 'Ethereum', 'xDai', 'Polygon', 'Arbitrum', 'Fantom']",curve.js,CurveFinance,['https://curve.fi/audits'],['Chainlink'],curve,20224593908.213593,"{'Avalanche': 1089865804.0108175, 'Harmony': 15740964.767328177, 'Ethereum': 17637734580.278313, 'xDai': 19264614.584708214, 'Ethereum-staking': 1926894255.3170705, 'Polygon': 327907124.90657455, 'Arbitrum': 548626714.8496268, 'Fantom': 585454104.8162216, 'staking': 1926894255.3170705}",-0.28065125827984616,-3.589470011939156,-2.2227500564481204,1926894255.3170705,17366447665.0,2060810590.0,,,,
118,MakerDAO,0x9f8f72aa9304c8b593d555f12ef6589cc3a579a2,MKR,https://makerdao.com/,"Builders of Dai, a digital currency that can be used by anyone, anywhere.
",Ethereum,https://icons.llama.fi/makerdao.jpg,2,,maker,1518,Minting,['Ethereum'],maker/index.js,MakerDAO,['https://security.makerdao.com/'],['Maker'],makerdao,17971702131.501396,{'Ethereum': 17971702131.501396},-0.04530168893471398,-4.955481034828992,-2.80730891931978,,3189457473.0,2858749690.0,,,,
319,Convex Finance,0x4e3fbd56cd56c3e72c1403e103b45db9da5b9d2b,CVX,https://www.convexfinance.com/,Convex simplifies your Curve-boosting experience to maximize your yields.,Ethereum,https://icons.llama.fi/convex-finance.jpg,2,,convex-finance,9903,Yield,['Ethereum'],convex/index.js,ConvexFinance,['https://github.com/convex-eth/platform/blob/main/audit/Convex%20Platform%20Security%20Audit%20Report.pdf'],,convex-finance,15355346357.35225,{'Ethereum': 15355346357.35225},-0.330102702315088,-3.259086454449573,-0.14459507958625295,,2628458262.0,1015103051.0,,,,
111,AAVE,0x7fc66500c84a76ad7e9c93437bfc5ac33e2ddae9,AAVE,"https://aave.com
",Aave is an Open Source and Non-Custodial protocol to earn interest on deposits and borrow assets,Multi-Chain,https://icons.llama.fi/aave.png,2,,aave,7278,Lending,"['Ethereum', 'Polygon', 'Avalanche']",aave/index.js,AaveAave,['https://aave.com/security'],['Chainlink'],aave,14554636714.634073,"{'Ethereum': 9480781622.54178, 'Polygon': 1819630637.9969718, 'Avalanche': 3254224454.095321, 'Ethereum-staking': 1065870071.8348577, 'staking': 1065870071.8348577}",-0.07621598118787176,-8.094947355912126,-7.642272669413586,1065870071.8348577,3844728766.0,3218478929.0,,,,
2,WBTC,0x2260fac5e5542a773aa44fbcfedf7c193bc2c599,WBTC,https://wbtc.network/,"Wrapped Bitcoin (WBTC) is the first ERC20 token backed 1:1 with Bitcoin.
Completely transparent. 100% verifiable. Community led.",Ethereum,https://icons.llama.fi/wbtc.png,2,,wrapped-bitcoin,3717,Assets,['Ethereum'],wbtc.js,WrappedBTC,['https://wbtc.network/dashboard/audit'],['Chainlink'],wbtc,13783299973.199999,{'Ethereum': 13783299973.199999},-0.27283380941918267,-4.310420550860158,-4.373038196865636,,13824436530.0,13824436530.0,,,,
120,Instadapp,0x6f40d4a6237c257fff2db00fa0510deeecd303eb,INST,https://instadapp.io/,Aims to drive interoperability between protocols for power users and ease of development allowing developers of all stripes to start leveraging the full potential of Decentralised Finance.,Ethereum,https://icons.llama.fi/instadapp.jpg,,,instadapp,10508,Services,['Ethereum'],instadapp.js,Instadapp,['https://github.com/Instadapp/dsa-contracts/blob/master/audits/v1_PeckShield_Mar_2020.pdf'],,instadapp,12069398987.0,{'Ethereum': 12069398987},0.0,0.0,2.013270563425195,,,70146386.0,,,,
114,Compound,0xc00e94cb662c3520282e6f5717214004a7f26888,COMP,https://compound.finance,"Compound is an algorithmic, autonomous interest rate protocol built for developers, to unlock a universe of open financial applications.",Ethereum,https://icons.llama.fi/compound.png,2,,compound-governance-token,5692,Lending,['Ethereum'],compound-onchain/index.js,compoundfinance,['https://compound.finance/docs/security'],['Chainlink'],compound,11892829522.962753,{'Ethereum': 11892829522.962755},0.05504249238981629,-3.7619061695732654,-1.4890969275052583,,2683057458.0,1659051269.0,,,,
240,Polygon Bridge & Staking,0x7d1afa7b718fb893db30a3abc0cfc608aacfebb0,MATIC,https://polygon.technology/,"Ethereum sidechain
",Polygon,https://icons.llama.fi/polygon.jpg,0,,matic-network,3890,Chain,['Polygon'],polygon/index.js,0xPolygon,,,polygon-bridge-&-staking,10282635185.599686,{'Polygon': 10282635185.599686},-0.442679372433858,-5.405704091271971,4.142590894518989,,17143989394.0,11782875608.0,,,,
1,Uniswap,0x1f9840a85d5af5bf1d1762f925bdaddc4201f984,UNI,https://info.uniswap.org/,"A fully decentralized protocol for automated liquidity provision on Ethereum.
",Ethereum,https://icons.llama.fi/uniswap.png,2,,uniswap,7083,Dexes,"['Optimism', 'Ethereum', 'Arbitrum']",uniswap/index.js,Uniswap,"['https://github.com/Uniswap/uniswap-v3-core/tree/main/audits', 'https://github.com/Uniswap/uniswap-v3-periphery/tree/main/audits', 'https://github.com/ConsenSys/Uniswap-audit-report-2018-12']",['Uniswap'],uniswap,9666013035.850925,"{'Optimism': 30701820.264229763, 'Ethereum': 9568684504.327095, 'Arbitrum': 66626711.259602}",-0.5170450679080858,-5.514906904635694,-2.959118739428291,,19877403254.0,9002954542.0,,,,
182,Lido,0x5a98fcbea516cf06857215779fd812ca3bef1b32,LDO,https://lido.fi/,"Liquidity for staked assets. Daily rewards, no lock ups. Available for Ethereum, Solana & Terra.",Multi-Chain,https://icons.llama.fi/lido.png,2,,lido-dao,8000,Staking,"['Ethereum', 'Solana', 'Terra']",lido/index.js,LidoFinance,['https://github.com/lidofinance/audits'],,lido,9289759937.734282,"{'Ethereum': 6207357372.843987, 'Solana': 200426147.7859245, 'Terra': 2881976417.1043687}",0.1672329991657051,,-3.1521330879080125,,3678679748.0,223974670.0,,,,
